71994,35778,75093
82167,37071,77413
4754,63728,96979
54445,21063,49628
81903,70257,9474
14363,96620,18573
31840,82183,13766
63681,46923,62713
31013,31805,69488
99448,80725,73798
5601,56210,93894
39459,52488,94479
46747,31615,78074
63178,13495,48079
41228,18436,25201
37228,92893,65417
88603,80657,19501
6974,53388,17916
82874,48996,68468
64173,49941,42807
31385,63794,35924
97902,87129,19646
46687,20056,58330
39797,60196,80437
5542,26560,39499
333,99813,75950
96665,6635,98048
63295,147,27953
11083,19279,29061
26483,43786,83109
64099,2219,22579
90139,73677,33352
48084,71271,8355
88422,66640,23393
79668,34793,24134
43067,39748,86026
87201,90506,34233
53748,10984,84723
7096,62425,27955
92593,46491,27215
90367,9694,75318
3758,38647,86305
78855,76531,91884
1257,89940,30419
74072,54615,5366
33727,43771,39090
16378,74263,85799
62779,2708,21723
34766,62222,59979
16902,22779,46050
21545,2706,1522
3702,59996,44090
63733,60257,43295
28613,45554,43335
3506,79864,1577
88914,660,50410
13902,64044,23735
25937,88103,41256
28928,68748,48460
64626,31360,46770
25819,94470,19549
37567,20405,77152
77018,8834,62981
30331,67401,64343
18127,60763,58632
3730,7835,91559
38906,85958,49826
95262,68093,59204
28469,36463,39346
37508,55173,77733
18428,69480,45865
1725,24691,72895
94398,33260,4783
56938,59423,92730
85698,40689,97700
86926,30404,10839
66646,8376,30272
66461,13063,8390
72224,35625,51604
73042,3748,43702
86344,32610,69771
81249,20467,92278
16247,89434,43953
80761,95811,21079
56588,70686,91210
77752,25457,53835
7471,89075,52515
30613,9884,24766
31162,48155,82536
87310,51771,48474
2792,61843,7984
46773,17229,27277
99371,81885,31154
499,95878,73643
98928,74065,56792
95235,8672,61942
96627,58503,70187
21109,84438,3955
37302,17041,6971
49549,68802,35092
32690,48433,69388
58319,78866,28273
62818,75481,11168
77420,62897,4657
31086,26257,99020
11264,25151,67660
66560,21423,38412
17231,48830,28634
77897,31676,57335
24090,67359,59381
66456,47703,38142
68791,53896,21713
10680,92667,70746
43745,63125,95849
46731,48189,96791
53825,24382,99044
49284,53550,17965
23815,14855,57765
11898,95132,55057
21934,72165,87443
1393,8231,11472
91980,3281,94256
63152,40399,80126
42878,14490,30683
24246,52347,81228
47308,33160,88338
71626,39230,44727
58520,60279,46175
8672,99359,34483
17142,63162,29201
74818,30213,37960
82787,17822,24072
76644,83653,23329
77394,42972,61946
28965,99920,41513
67545,36156,20145
64414,19843,98186
99572,56045,35557
3722,67234,30028
70721,96727,34044
51142,39840,93949
12701,12851,48590
47511,71672,62873
11850,16619,92485
59,68671,17763
67892,39345,43934
96682,78493,4394
13113,32388,60239
3647,74014,38681
31900,2270,15849
62349,86370,54414
51817,99964,72795
75294,73142,23191
57265,36121,18314
41750,61615,65256
86151,65474,45150
52254,61392,93906
29337,26557,49730
51096,26314,26310
20247,51902,38030
74617,37759,87255
52620,37891,98561
22466,1113,83945
99430,33345,12385
74186,12319,48325
43533,85382,73200
5089,81192,40703
41865,71721,36122
48454,45531,74952
56319,69400,79878
41482,95465,11797
30110,8225,14597
47196,66958,29028
912,42319,19827
80067,32894,63330
84790,94991,43717
62066,68662,90463
62808,40170,33180
40002,89814,80638
93466,31181,56748
68801,51723,80711
7338,10635,46707
61680,1256,18075
59486,15299,82782
23693,386,19400
25272,23806,76788
81440,25560,25565
98623,23887,15934
93415,62006,64123
39703,90037,81834
33971,92613,80540
43335,80730,23629
93606,58907,82524
61076,94012,50496
56434,44082,35445
5527,44267,93927
6095,54629,4229
18814,10538,96503
88702,61025,15953
5948,40803,33989
27775,37915,32447
64018,6124,18206
2023,17012,29333
50906,33067,12936
2059,86625,69856
83156,72857,73115
59973,19518,7831
41656,86437,75313
83771,86038,37027
71953,44714,34787
10282,20124,71449
46992,76207,98729
63572,24602,64731
30945,30030,2923
12020,25515,36847
81364,39338,98311
12368,89925,2284
